category_pt,faturamento,itens,preco_medio,nota_media,frete_medio,participacao
Saúde e beleza,1229557.5,9422,130.49856718318827,4.193289881397585,18.913423901507112,0.0932912151224824
Relógios e presentes,1163187.91,5853,198.73362549120108,4.070924427612326,16.749591662395353,0.08825550130000483
"Cama, mesa e banho",1022955.77,10945,93.46329556875286,3.9236810496165573,18.423655550479673,0.07761555421349113
Esporte e lazer,952661.4,8413,113.23682396291454,4.1650717703349285,19.36416854867467,0.07228205236947866
Informática e acessórios,887944.6,7631,116.36018870397065,3.9876234364713627,18.843822565849823,0.06737174202544133
Móveis e decoração,706237.17,8095,87.24362816553429,3.9535928143712575,20.653909820877082,0.053584906565136786
Utilidades domésticas,614341.62,6783,90.57078283945157,4.108244365361803,21.009596048945895,0.04661244084161524
Diversos,609158.0,3711,164.14928590676368,4.195545898967953,21.90407167879278,0.04621913983004547
Automotivo,577721.09,4131,139.85017913338174,4.1158924205378975,21.84641975308642,0.043833901617439615
Jardinagem,469135.4,4263,110.04818203143327,4.084061393152302,22.647217921651418,0.0355950913421876
Brinquedos,466990.99,4005,116.60199500624219,4.209758551307847,18.794986267166042,0.03543238678008229
Bebê,399050.67,2971,134.31527095254123,4.0776797829036635,22.268404577583304,0.030277495684212192
Perfumaria,385315.55,3311,116.37437330111749,4.21939393939394,15.86858350951374,0.029235359765677996
Telefonia,309631.94,4422,70.02079149706016,3.9943130118289356,15.65726594301221,0.023492955736784626
Móveis de escritório,266853.43,1662,160.56163056558364,3.518496058217101,40.17471720818291,0.02024718709316343
Papelaria,223788.69,2466,90.74967153284672,4.246430028559772,18.567055961070558,0.01697970108821143
Computadores,218684.14,199,1098.9152763819095,4.219387755102041,48.57095477386935,0.016592399418990215
Pet shop,211005.96,1920,109.8989375,4.216640502354788,20.225197916666666,0.01600982662989402
Instrumentos musicais,184315.74,651,283.12709677419355,4.221705426356589,27.45219662058372,0.013984737883994472
Eletroportáteis,182754.12,658,277.74182370820665,4.223583460949464,23.334878419452888,0.013866251821033146
Uncategorized,175901.32,1557,112.97451509312782,3.928802588996764,17.570070648683366,0.013346303759237463
Eletrônicos,154935.94,2728,56.79469941348974,4.066814322628276,16.740234604105574,0.011755580449669109
Moda: bolsas e acessórios,148945.19,1976,75.37712044534413,4.195320447609359,15.39498987854251,0.011301039407875609
Consoles e games,144384.01,1082,133.44178373382627,4.137126865671642,17.493863216266174,0.01095496529211253
Ferramentas e construção,142108.49,916,155.14027292576418,4.091108671789242,22.132663755458516,0.010782312914459989
Malas e acessórios,138701.63,1077,128.78517177344474,4.352283317800559,27.926174558960074,0.01052382145785696
Home appliances 2,107953.95,231,467.3331168831169,4.156521739130435,44.392077922077924,0.008190877752989762
Casa e construção,81407.57,596,136.58988255033557,3.95777027027027,22.843624161073823,0.00617670269626963
Eletrodomésticos,78832.48,754,104.55236074270556,4.226364846870839,19.19005305039788,0.0059813208006285114
Agro industry and commerce,70566.1,206,342.55388349514567,4.087378640776699,27.36504854368932,0.005354119035063107
Furniture living room,67350.7,495,136.0620202020202,3.9346938775510205,35.74620202020202,0.005110154378587236
Home confort,58008.450000000004,429,135.21783216783217,3.8524590163934427,19.64981351981352,0.004401322254446632
Fixed telephony,54610.33,250,218.44132000000002,3.7530364372469633,17.727040000000002,0.004143493934964208
Ar-condicionado,51974.27,281,184.9618149466192,4.0398550724637685,22.692775800711743,0.003943486012979452
Audio,50413.61,360,140.03780555555556,3.831460674157303,15.718555555555556,0.003825072788878056
Small appliances home oven and coffee,46589.56,73,638.2131506849315,4.438356164383562,36.388219178082196,0.003534927536468852
Kitchen dining laundry garden furniture,45531.98,274,166.1751094890511,4.033088235294118,42.120401459854016,0.003454684909922933
Livros,45256.25,536,84.43330223880596,4.511278195488722,16.550970149253732,0.0034337642236225993
Construction tools lights,39957.0,301,132.74750830564784,4.082191780821918,24.88418604651163,0.0030316899231219597
Construction tools safety,38773.22,183,211.87551912568307,3.967032967032967,20.38688524590164,0.0029418720214478273
