customer_state,faturamento,pedidos,clientes,nota_media,prazo_medio,taxa_atraso,frete_medio,ticket_medio,participacao,participacao_acumulada,regiao,frete_sobre_preco
SP,5054516.95,40399,39058,4.178027753045669,8.698845079478422,0.05771513673350456,15.115104141935205,125.11490259659892,0.3835054709703968,0.3835054709703968,Sudeste,0.12080978227405892
RJ,1751433.85,12310,11879,3.8756283211259515,15.132891937212804,0.1301695396183585,20.9210321344967,142.27732331437855,0.13288796341216053,0.5163934343825574,Sudeste,0.1470440379895903
MG,1548206.8800000001,11319,10969,4.121520175164217,11.958488084555006,0.05459346120990914,20.63736817581735,136.77947521865892,0.11746835841039342,0.6338617927929507,Sudeste,0.1508805918638448
RS,726194.92,5327,5150,4.091356404789241,15.178148295757333,0.06899934597776325,21.613106605624594,136.3234315749953,0.05509917714508992,0.6889609699380407,Sul,0.1585428591102816
PR,664048.0,4903,4750,4.151054701465856,11.93194538165813,0.04805125467164976,20.49583199857626,135.4370793391801,0.05038385339413097,0.7393448233321717,Sul,0.151331024698545
SC,504774.07,3537,3441,4.0479012345679015,14.975429890131316,0.09647404505386875,21.511505876591578,142.71248798416738,0.03829913310489423,0.7776439564370659,Sul,0.15073317115022253
BA,493339.26,3253,3155,3.86121777290181,19.246368741193642,0.13695652173913042,26.488461956521736,151.65670458038733,0.03743153047582262,0.8150754869128884,Nordeste,0.1746606721398277
DF,295454.64,2074,2013,4.059656652360515,12.922145050221717,0.07456327226246272,21.07737537281636,142.45643201542913,0.02241726993587172,0.8374927568487601,Centro-Oeste,0.14795664242477669
GO,281932.21,1950,1889,4.038031319910514,15.407242132688856,0.07885462555066079,22.56564757709251,144.58062051282053,0.0213912716185025,0.8588840284672626,Centro-Oeste,0.15607657165291752
ES,267783.66,1992,1925,4.013235965312643,15.636709702220223,0.1224122412241224,21.99930693069307,134.42954819277108,0.02031776718969685,0.8792017956569594,Sudeste,0.16364934068770512
PE,250639.89,1587,1545,4.019744483159117,18.28010104698808,0.10229885057471265,32.63690229885057,157.9331379962193,0.01901700400043538,0.8982187996573948,Nordeste,0.20665012240579841
CE,218107.7,1273,1252,3.872611464968153,20.96107600580334,0.15352112676056337,32.70682394366197,171.33362136684997,0.016548662718555134,0.91476746237595,Nordeste,0.19089553867324122
PA,173382.99,942,918,3.842412451361868,23.723575306580432,0.125,35.64645992366412,184.05837579617832,0.013155228461189666,0.9279226908371396,Norte,0.19366931697331788
MT,152143.82,885,855,4.0048828125,17.982816771783863,0.06763285024154589,27.999188405797103,171.91392090395482,0.011543731660517089,0.9394664224976568,Centro-Oeste,0.16286748774370483
MA,116305.12,713,696,3.746819338422392,21.619199135529335,0.20480404551201012,38.55825537294564,163.12078541374473,0.008824512859110801,0.9482909353567676,Nordeste,0.23637855393563278
MS,115429.97,701,681,4.065512978986403,15.534071690756724,0.10850801479654747,23.350900123304566,164.6647218259629,0.008758111892165832,0.9570490472489334,Centro-Oeste,0.14180876064020895
PB,112536.92,516,503,4.036269430051814,20.559865681386515,0.11282051282051282,43.12288888888889,218.0948062015504,0.008538605159125613,0.965587652408059,Nordeste,0.1977254279454837
PI,84511.0,475,463,3.9593810444874276,19.369769050659855,0.15517241379310345,39.12088122605364,177.9178947368421,0.006412171761968115,0.9719998241700271,Nordeste,0.2198816554339137
RN,81376.97,470,460,4.103313840155946,19.23974005437123,0.10465116279069768,35.768352713178295,173.14248936170213,0.006174380957609381,0.9781742051276364,Nordeste,0.20658333402182213
AL,78805.73,396,386,3.8203309692671397,24.469012264171447,0.24178403755868544,35.89239436619718,199.00436868686867,0.005979291176146105,0.9841534963037826,Nordeste,0.1803598313093995
SE,56288.74,332,326,3.891891891891892,21.39448290023895,0.1639784946236559,36.70556451612903,169.54439759036143,0.004270841300478815,0.9884243376042614,Nordeste,0.2164952958505527
TO,48402.51,274,267,4.155339805825243,17.4483853046595,0.12258064516129032,37.43503225806452,176.65149635036497,0.003672482964707308,0.9920968205689688,Norte,0.21191460605472068
RO,45682.76,243,231,4.073529411764706,19.73936588488672,0.040293040293040296,41.33054945054945,187.99489711934157,0.0034661251633605864,0.9955629457323293,Norte,0.21984931550728362
AM,22155.84,145,140,4.111111111111111,26.390967180754373,0.04294478527607362,33.31061349693252,152.79889655172414,0.0016810480483094939,0.9972439937806388,Norte,0.21800297154408116
AC,15930.97,80,76,4.131868131868132,20.71554995929996,0.03296703296703297,40.04791208791209,199.137125,0.0012087434295507233,0.9984527372101895,Norte,0.20110721236892462
AP,13374.81,67,66,4.2625,28.205959790809327,0.04938271604938271,34.160493827160494,199.62402985074627,0.0010147978251788378,0.9994675350353683,Norte,0.17112415701006242
RR,7017.77,40,39,3.888888888888889,28.667632458847734,0.1111111111111111,43.394,175.44425,0.000532464964631669,1.0,Norte,0.2473378295384431
