order_month,faturamento,pedidos,itens,ticket_medio,crescimento_mom,media_movel_3m
2017-01-01,111798.36,750,913,149.06448,,
2017-02-01,234223.4,1653,1858,141.69594676346037,1.0950521993345879,
2017-03-01,359198.85,2546,2897,141.0836017282011,0.5335737163750505,235073.53666666665
2017-04-01,340669.68,2303,2569,147.9243074250977,-0.051584714149279676,311363.9766666666
2017-05-01,489159.25,3545,4003,137.98568406205925,0.4358755084984376,396342.5933333333
2017-06-01,421923.37,3135,3489,134.58480701754385,-0.13745192388777272,417250.76666666666
2017-07-01,481604.52,3872,4416,124.3813326446281,0.14145021168180372,464229.0466666667
2017-08-01,554699.7,4193,4797,132.29184354877174,0.15177428152044747,486075.86333333334
2017-09-01,607399.67,4150,4737,146.36136626506024,0.09500630701621082,547901.2966666667
2017-10-01,648247.65,4478,5214,144.76276239392587,0.06725057983650196,603449.0066666667
2017-11-01,987648.07,7288,8474,135.5170238748628,0.5235659859314568,747765.13
2017-12-01,726033.1900000001,5513,6187,131.694756031199,-0.26488674250130406,787309.6366666667
2018-01-01,924645.0,7069,8037,130.80280096194653,0.2735574802027989,879442.0866666666
2018-02-01,826437.13,6555,7518,126.0773653699466,-0.10621143249571452,825705.1066666668
2018-03-01,953356.25,7003,8017,136.13540625446237,0.15357383567701022,901479.46
2018-04-01,973534.09,6798,7827,143.2088982053545,0.021165057658141917,917775.8233333332
2018-05-01,977544.6900000001,6749,7810,144.84289376203884,0.004119629750202192,968145.0100000001
2018-06-01,855591.97,6096,7007,140.35301345144356,-0.12475411226467825,935556.9166666666
2018-07-01,867486.47,6156,6960,140.91723034437948,0.013902070633037944,900207.71
2018-08-01,838576.64,6351,7142,132.03851991812314,-0.033325972219485966,853885.0266666667
